event_relations_manager.cpp	A	real (330 lines)	12284
event_relations_utils.cpp	C	size echo stub (3 json.size() calls, 6 lines)	720
event_relations_v4.cpp	A	real (830 lines)	37122
event_reminder.cpp	C	broken header (14 garbage decls in event_reminder.hpp)	824
event_retention.cpp	A	real (141 lines)	5843
event_search.cpp	C	broken header (8 garbage decls in event_search.hpp)	707
event_sender_utils.cpp	C	size echo stub (2 json.size() calls, 5 lines)	506
event_signature_utils.cpp	C	size echo stub (3 json.size() calls, 6 lines)	694
event_state_utils.cpp	C	broken header (7 garbage decls in event_state_utils.hpp)	690
event_timeline.cpp	A	real (191 lines)	5922
event_timeline_helper.cpp	A	real (105 lines)	3467
event_timestamp_utils.cpp	A	real (71 lines)	2074
event_utils.cpp	A	real (480 lines)	17719
event_validator.cpp	A	real (350 lines)	13710
event_version_utils.cpp	A	real (4 lines)	288
eventcache.cpp	A	real (99 lines)	3327
eventdb.cpp	A	real (257 lines)	9615
exporter.cpp	A	real (217 lines)	8292
favorite_messages.cpp	A	real (157 lines)	6590
federation_client.cpp	A	real (499 lines)	28859
federation_tester.cpp	A	real (111 lines)	4504
federation_v4.cpp	A	real (830 lines)	37119
federation_version.cpp	A	real (79 lines)	2651
file_upload_utils.cpp	C	broken header (9 garbage decls in file_upload_utils.hpp)	907
file_v2.cpp	A	real (58 lines)	1189
file_validator.cpp	A	real (161 lines)	6312
filter_utils.cpp	C	size echo stub (3 json.size() calls, 6 lines)	677
font_manager.cpp	A	real (152 lines)	6112
gossip_manager.cpp	A	real (144 lines)	5923
graph_utils.cpp	A	real (183 lines)	6026
hash_utils.cpp	A	real (283 lines)	9047
highlight_formatter.cpp	C	broken header (12 garbage decls in highlight_formatter.hpp)	921
http_client.cpp	A	real (217 lines)	7096
identity_hash.cpp	A	real (152 lines)	6474
identity_lookup.cpp	A	real (166 lines)	6828
identity_server.cpp	B	auto-generated template header	18650
identity_server_lookup.cpp	A	real (153 lines)	6064
identity_server_manager.cpp	A	real (406 lines)	14126
identity_server_utils.cpp	A	real (57 lines)	2291
identity_utils.cpp	A	real (188 lines)	5365
identity_v4.cpp	A	real (830 lines)	37111
ignore_utils.cpp	A	real (168 lines)	7025
inbound_federation.cpp	B	auto-generated template header	18705
input_tools.cpp	A	real (247 lines)	7874
invitation_hide.cpp	A	real (103 lines)	3138
invite_counter.cpp	C	size echo stub (4 json.size() calls, 7 lines)	910
invite_utils.cpp	A	real (144 lines)	4508
invite_validator.cpp	A	real (170 lines)	7063
json_parser.cpp	A	real (64 lines)	2082
jumptodate.cpp	A	real (111 lines)	3395
key_backup.cpp	A	real (329 lines)	11674
key_backup_manager.cpp	A	real (612 lines)	22186
key_backup_mgr.cpp	A	real (499 lines)	29042
key_backup_v4.cpp	A	real (830 lines)	37121
key_export_utils.cpp	A	real (171 lines)	7100
key_share.cpp	A	real (159 lines)	6447
key_share_handler.cpp	B	auto-generated template header	18814
key_verification_utils.cpp	A	real (141 lines)	6307
keyshare.cpp	A	real (103 lines)	3991
knock_utils.cpp	A	real (168 lines)	7022
ktport_a.cpp	C	hash echo stub (40 std::hash calls, 327 lines)	10267
ktport_b.cpp	C	hash echo stub (40 std::hash calls, 327 lines)	10267
ktport_c.cpp	C	hash echo stub (40 std::hash calls, 327 lines)	10267
ktport_d.cpp	C	hash echo stub (40 std::hash calls, 327 lines)	10267
ktport_e.cpp	C	hash echo stub (40 std::hash calls, 327 lines)	10267
ktport_f.cpp	C	hash echo stub (40 std::hash calls, 327 lines)	10267
ktport_g.cpp	C	hash echo stub (40 std::hash calls, 327 lines)	10267
lang_detect.cpp	A	real (320 lines)	11391
language_switcher.cpp	A	real (165 lines)	6944
latency_stats.cpp	A	real (158 lines)	5294
lazy_loading_utils.cpp	A	real (156 lines)	6342
lightweight_call.cpp	A	real (187 lines)	6766
lightweight_settings.cpp	A	real (164 lines)	6274
